"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Ryan Carpenter","Tigers",".338","0.89","25.0%","35.3%","39.7%","3.2%","19.4%","20","4.43","228","458","686","36.9%","29.3%","33.8%","14.0%","40.1%","45.9%","12699"
"Jonathan Holder","Yankees",".307","0.88","19.7%","37.7%","42.6%","15.4%","15.4%","30","6.53","227","466","693","48.4%","32.0%","19.7%","22.1%","40.2%","37.7%","16588"
"Jeff Samardzija","Giants",".240","0.88","22.3%","36.4%","41.3%","8.6%","12.6%","105","5.21","1085","1921","3006","42.0%","36.7%","21.3%","15.1%","44.8%","40.2%","3254"
"Roenis Elias","- - -",".257","0.88","26.4%","34.5%","39.2%","15.5%","17.2%","25","4.50","305","542","847","42.0%","32.0%","26.0%","14.7%","54.0%","31.3%","12673"
"Drew Gagnon","Mets",".288","0.88","17.6%","38.5%","44.0%","15.0%","27.5%","10","3.80","143","271","414","52.8%","25.3%","22.0%","27.5%","35.2%","37.4%","12545"
"Justin Dunn","Mariners",".125","0.88","6.3%","43.8%","50.0%","50.0%","0.0%","4","5.40","63","73","136","50.0%","18.8%","31.3%","31.3%","37.5%","31.3%","19268"
"Josh A. Smith","Red Sox",".292","0.87","25.5%","34.7%","39.8%","7.7%","25.6%","6","1.74","231","362","593","44.4%","35.4%","20.2%","20.2%","42.4%","37.4%","10946"
"Madison Bumgarner","Giants",".289","0.86","22.6%","35.8%","41.6%","7.9%","12.6%","103","4.46","1071","2173","3244","43.4%","33.1%","23.5%","14.7%","41.6%","43.8%","5524"
"Danny Duffy","Royals",".285","0.86","21.9%","36.0%","42.0%","8.7%","13.0%","84","5.79","785","1376","2161","40.2%","40.4%","19.4%","15.0%","45.9%","39.1%","3542"
"Jacob Webb","Braves",".233","0.85","16.9%","38.2%","44.9%","17.5%","10.0%","16","4.45","186","350","536","36.7%","40.0%","23.3%","11.1%","50.0%","38.9%","19274"
"Aaron Wilkerson","Brewers",".375","0.85","20.0%","36.7%","43.3%","15.4%","15.4%","9","5.06","138","195","333","40.0%","31.7%","28.3%","18.3%","46.7%","35.0%","16904"
"Griffin Canning","Angels",".280","0.84","18.0%","37.6%","44.5%","5.5%","12.8%","60","5.98","592","960","1552","30.8%","42.4%","26.8%","16.0%","42.4%","41.6%","19867"
"Jimmy Yacabonis","Orioles",".336","0.84","21.6%","35.8%","42.5%","12.3%","15.8%","12","2.63","322","448","770","45.5%","40.3%","14.2%","14.9%","44.0%","41.0%","15157"
"Lucas Giolito","White Sox",".273","0.84","21.3%","36.0%","42.8%","14.7%","13.6%","83","4.23","953","1861","2814","41.1%","31.5%","27.4%","20.2%","47.8%","32.0%","15474"
"Edwin Diaz","Mets",".377","0.84","19.5%","36.7%","43.8%","5.4%","26.8%","11","1.71","370","703","1073","43.4%","29.5%","27.1%","16.3%","35.7%","48.1%","14710"
"Reyes Moronta","Giants",".272","0.84","18.0%","37.4%","44.6%","9.7%","6.5%","22","3.49","406","632","1038","37.1%","34.3%","28.6%","19.3%","45.0%","35.7%","14966"
"Chad Green","Yankees",".346","0.84","22.1%","35.5%","42.4%","16.4%","13.7%","37","4.83","455","865","1320","29.1%","34.9%","36.1%","15.7%","39.5%","44.8%","15552"
"Danny Salazar","Indians",".200","0.83","8.3%","41.7%","50.0%","0.0%","33.3%","1","2.25","30","36","66","33.3%","50.0%","16.7%","8.3%","50.0%","41.7%","5867"
"Chandler Shepherd","Orioles",".333","0.83","25.4%","33.9%","40.7%","0.0%","20.8%","10","4.74","108","210","318","39.0%","32.2%","28.8%","8.5%","44.1%","47.5%","16166"
"Matt Wotherspoon","Orioles",".421","0.83","47.6%","23.8%","28.6%","0.0%","33.3%","4","7.71","43","60","103","42.9%","19.1%","38.1%","23.8%","38.1%","38.1%","16452"
"Kevin Ginkel","Diamondbacks",".228","0.83","24.1%","34.5%","41.4%","8.3%","8.3%","14","5.18","154","242","396","44.8%","32.8%","22.4%","12.1%","48.3%","39.7%","19876"
"Austin Voth","Nationals",".257","0.83","23.9%","34.5%","41.6%","21.3%","10.6%","21","4.33","244","440","684","39.5%","34.2%","26.3%","22.8%","43.9%","33.3%","15047"
"Jordan Yamamoto","Marlins",".225","0.83","21.3%","35.6%","43.1%","6.9%","12.6%","35","4.00","518","859","1377","44.1%","32.2%","23.8%","18.3%","33.7%","48.0%","17585"
"Jose Urquidy","Astros",".281","0.83","18.1%","37.1%","44.8%","11.5%","11.5%","27","5.93","249","444","693","44.2%","36.7%","19.2%","20.0%","43.3%","36.7%","18413"
"Jose Suarez","Angels",".325","0.83","22.0%","35.3%","42.7%","13.8%","21.1%","52","5.78","567","919","1486","45.4%","28.5%","26.2%","15.4%","36.9%","47.7%","19911"
"Matt Koch","Diamondbacks",".300","0.82","20.5%","35.9%","43.6%","8.8%","23.5%","15","6.53","141","223","364","30.8%","42.3%","26.9%","14.1%","42.3%","43.6%","13420"
"Trevor Richards","- - -",".290","0.82","22.0%","35.2%","42.8%","11.7%","11.7%","53","3.52","824","1466","2290","38.5%","33.9%","27.6%","15.6%","42.6%","41.8%","19309"
"Luke Bard","Angels",".248","0.82","21.3%","35.5%","43.3%","9.8%","13.1%","23","4.22","298","520","818","39.7%","34.8%","25.5%","21.3%","34.0%","44.7%","14288"
"Brendan McKay","Rays",".331","0.82","21.8%","35.2%","43.0%","8.2%","13.1%","28","5.14","297","581","878","30.6%","37.5%","31.9%","13.2%","44.4%","42.4%","20186"
"Tommy Milone","Mariners",".252","0.82","18.5%","36.7%","44.8%","7.4%","16.2%","47","3.79","600","1150","1750","44.6%","36.2%","19.2%","18.0%","46.4%","35.6%","7608"
"Wilmer Font","- - -",".288","0.82","18.0%","36.8%","45.2%","12.6%","16.5%","42","4.48","544","997","1541","42.4%","34.1%","23.6%","15.3%","45.9%","38.9%","5257"
"Eric Skoglund","Royals",".305","0.81","23.0%","34.5%","42.5%","13.5%","13.5%","7","3.00","155","240","395","46.0%","32.2%","21.8%","13.8%","36.8%","49.4%","16155"
"Jeff Hoffman","Rockies",".298","0.81","21.5%","35.1%","43.4%","6.7%","23.6%","39","5.01","464","792","1256","43.1%","30.6%","26.3%","16.8%","43.1%","40.2%","17432"
"Josh Staumont","Royals",".293","0.81","24.2%","33.9%","41.9%","3.8%","15.4%","7","3.26","129","197","326","32.3%","35.5%","32.3%","12.9%","38.7%","48.4%","18335"
"Trent Thornton","Blue Jays",".301","0.80","27.4%","32.4%","40.3%","12.0%","13.0%","90","5.25","1072","1687","2759","40.3%","32.9%","26.8%","19.9%","43.9%","36.2%","17948"
"Trevor May","Twins",".233","0.80","24.2%","33.8%","42.0%","12.1%","12.1%","38","5.32","440","726","1166","40.5%","32.3%","27.2%","18.4%","46.8%","34.8%","6398"
"Sergio Romo","- - -",".264","0.80","18.9%","36.1%","45.0%","14.5%","9.2%","19","2.83","335","660","995","45.9%","33.5%","20.6%","20.6%","47.7%","31.8%","9817"
"Mike Dunn","Rockies",".260","0.80","13.5%","38.5%","48.1%","12.0%","16.0%","12","6.11","114","188","302","48.2%","33.3%","18.5%","16.7%","50.0%","33.3%","9948"
"Aaron Slegers","Rays",".200","0.80","18.2%","36.4%","45.5%","40.0%","20.0%","0","0.00","14","28","42","54.6%","18.2%","27.3%","27.3%","45.5%","27.3%","15231"
"Jordan Montgomery","Yankees",".462","0.80","35.7%","28.6%","35.7%","0.0%","20.0%","3","6.75","31","51","82","57.1%","21.4%","21.4%","7.1%","42.9%","50.0%","16511"
"Locke St. John","Rangers",".292","0.80","25.0%","33.3%","41.7%","20.0%","0.0%","2","2.70","61","88","149","41.7%","33.3%","25.0%","12.5%","66.7%","20.8%","16850"
"Art Warren","Mariners",".143","0.80","35.7%","28.6%","35.7%","0.0%","0.0%","2","3.38","32","45","77","50.0%","0.0%","50.0%","7.1%","57.1%","35.7%","18251"
"Daniel Hudson","- - -",".247","0.80","16.1%","37.2%","46.7%","12.9%","8.6%","35","4.32","416","801","1217","37.6%","34.7%","27.7%","18.3%","43.1%","38.6%","7146"
"Justin Verlander","Astros",".218","0.80","18.9%","35.9%","45.2%","12.4%","16.0%","141","5.69","1087","2361","3448","44.4%","35.3%","20.3%","17.1%","41.2%","41.8%","8700"
"Matthew Boyd","Tigers",".307","0.79","19.5%","35.6%","44.9%","12.1%","18.2%","102","4.95","1059","2059","3118","41.6%","31.7%","26.8%","17.5%","41.8%","40.7%","15440"
"Jose Quijada","Marlins",".283","0.79","24.6%","33.3%","42.0%","10.3%","34.5%","17","5.16","267","380","647","41.4%","34.3%","24.3%","21.4%","32.9%","45.7%","19200"
"Reynaldo Lopez","White Sox",".316","0.79","20.7%","35.0%","44.2%","14.4%","14.0%","99","4.84","1123","2040","3163","36.9%","34.2%","28.9%","19.6%","45.3%","35.1%","16400"
"Jake Odorizzi","Twins",".302","0.79","20.7%","35.0%","44.3%","11.0%","8.8%","101","5.72","1012","1775","2787","36.9%","33.3%","29.8%","14.7%","43.0%","42.3%","6397"
"Brock Stewart","- - -",".313","0.79","18.1%","36.2%","45.7%","2.3%","25.6%","48","16.83","176","310","486","46.8%","28.7%","24.5%","20.2%","43.6%","36.2%","16727"
"Manny Banuelos","White Sox",".331","0.78","24.7%","33.1%","42.2%","6.2%","18.5%","26","4.62","387","561","948","38.9%","38.9%","22.3%","15.3%","54.1%","30.6%","5365"
"Chase Anderson","Brewers",".266","0.78","20.3%","35.0%","44.7%","12.2%","12.8%","74","4.79","844","1548","2392","36.8%","35.1%","28.1%","19.0%","43.4%","37.6%","6895"
"Josh Tomlin","Braves",".274","0.78","23.7%","33.5%","42.8%","9.1%","12.7%","43","4.88","374","762","1136","43.1%","32.8%","24.1%","16.4%","47.7%","35.9%","9388"
"Nestor Cortes","Yankees",".321","0.78","22.1%","34.2%","43.7%","10.3%","18.4%","43","5.81","483","818","1301","36.0%","37.5%","26.5%","21.0%","40.5%","38.5%","17874"
"Jake McGee","Rockies",".300","0.78","18.6%","35.7%","45.7%","6.8%","18.6%","26","5.66","233","414","647","42.0%","29.0%","29.0%","13.7%","37.4%","48.9%","7550"
"David Robertson","Phillies",".350","0.78","23.8%","33.3%","42.9%","11.1%","11.1%","1","1.35","57","79","136","42.9%","28.6%","28.6%","9.5%","57.1%","33.3%","8241"
"Vince Velasquez","Phillies",".305","0.78","21.6%","34.3%","44.1%","8.4%","18.2%","74","5.68","768","1352","2120","38.7%","33.3%","27.9%","12.6%","39.9%","47.5%","11189"
"Jose Leclerc","Rangers",".306","0.78","20.1%","34.9%","45.0%","16.4%","10.4%","17","2.23","505","789","1294","46.1%","31.2%","22.7%","18.2%","46.1%","35.7%","14524"
"J.B. Wendelken","Athletics",".226","0.78","15.5%","36.9%","47.6%","5.0%","5.0%","19","5.23","190","324","514","43.0%","29.1%","27.9%","15.1%","55.8%","29.1%","14506"
"Tom Eshelman","Orioles",".297","0.77","27.7%","31.5%","40.8%","9.4%","22.6%","23","5.75","214","395","609","46.2%","35.4%","18.5%","10.8%","53.1%","36.2%","18361"
"Wei-Chung Wang","- - -",".250","0.77","17.9%","35.8%","46.3%","11.4%","9.1%","22","6.39","200","319","519","46.9%","28.1%","25.0%","19.8%","44.8%","35.4%","14382"
"Chance Adams","Yankees",".395","0.77","29.5%","30.7%","39.8%","5.7%","20.0%","16","5.68","206","313","519","40.9%","34.1%","25.0%","17.1%","50.0%","33.0%","18135"
"Andrew Heaney","Angels",".312","0.77","22.8%","33.6%","43.6%","9.2%","18.3%","59","5.57","597","1092","1689","38.2%","33.9%","28.0%","15.0%","37.4%","47.6%","15423"
"Jerad Eickhoff","Phillies",".256","0.77","18.3%","35.5%","46.2%","7.7%","23.1%","29","4.47","370","605","975","42.5%","32.8%","24.7%","16.7%","38.5%","44.8%","12664"
"Michael Feliz","Pirates",".262","0.77","20.9%","34.3%","44.8%","8.3%","18.3%","28","4.47","363","653","1016","34.3%","35.8%","29.9%","19.0%","51.8%","29.2%","11903"
"Justin Shafer","Blue Jays",".315","0.76","25.9%","31.9%","42.2%","10.2%","12.2%","21","4.76","282","450","732","39.3%","27.4%","33.3%","20.5%","43.6%","35.9%","16132"
"Kenley Jansen","Dodgers",".273","0.75","24.2%","32.5%","43.3%","16.2%","13.2%","16","2.29","327","741","1068","42.9%","31.3%","25.8%","17.2%","44.2%","38.7%","3096"
"Dan Winkler","Braves",".241","0.75","28.8%","30.5%","40.7%","20.8%","20.8%","16","6.65","131","220","351","22.0%","40.7%","37.3%","20.3%","40.7%","39.0%","12237"
"Hoby Milner","Rays",".333","0.75","41.7%","25.0%","33.3%","50.0%","0.0%","0","0.00","26","44","70","66.7%","8.3%","25.0%","50.0%","33.3%","16.7%","13346"
"Brady Rodgers","Astros",".214","0.75","22.2%","33.3%","44.4%","12.5%","50.0%","1","1.80","40","74","114","38.9%","33.3%","27.8%","22.2%","33.3%","44.4%","13393"
"Yency Almonte","Rockies",".302","0.75","25.0%","32.1%","42.9%","14.6%","14.6%","18","4.76","230","378","608","29.2%","38.1%","32.7%","21.2%","36.3%","42.5%","15068"
"Cole Sulser","Rays",".294","0.75","12.5%","37.5%","50.0%","12.5%","0.0%","6","7.36","46","84","130","23.5%","29.4%","47.1%","17.7%","47.1%","35.3%","15256"
"Adbert Alzolay","Cubs",".273","0.75","24.3%","32.4%","43.2%","18.8%","25.0%","4","2.92","88","137","225","48.7%","16.2%","35.1%","24.3%","40.5%","35.1%","17859"
"Michael King","Yankees",".250","0.75","12.5%","37.5%","50.0%","0.0%","0.0%","3","13.50","17","24","41","0.0%","50.0%","50.0%","50.0%","37.5%","12.5%","19853"
"Joshua James","Astros",".308","0.75","18.9%","34.6%","46.5%","10.2%","16.9%","31","4.55","447","695","1142","34.7%","35.4%","29.9%","16.5%","43.3%","40.2%","16794"
"Drew Smyly","- - -",".308","0.74","22.2%","33.2%","44.6%","6.7%","21.5%","55","4.34","817","1313","2130","51.9%","27.9%","20.2%","13.1%","41.5%","45.4%","11760"
"Jaime Barria","Angels",".287","0.74","19.5%","34.2%","46.3%","5.0%","20.2%","31","3.38","585","913","1498","42.9%","35.3%","21.8%","11.5%","46.4%","42.2%","18356"
"Ryan Helsley","Cardinals",".279","0.73","20.6%","33.6%","45.8%","4.1%","10.2%","23","5.65","190","387","577","45.9%","29.4%","24.8%","16.5%","44.0%","39.5%","18138"
"Freddy Peralta","Brewers",".338","0.73","24.3%","32.0%","43.7%","15.5%","15.5%","59","6.25","557","1042","1599","35.1%","36.0%","29.0%","17.5%","43.9%","38.6%","18679"
"Emilio Pagan","Rays",".228","0.73","19.2%","34.0%","46.8%","15.1%","16.4%","34","4.37","322","753","1075","44.2%","27.6%","28.2%","18.6%","44.2%","37.2%","14771"
"Pedro Baez","Dodgers",".213","0.72","17.5%","34.5%","48.0%","18.8%","7.1%","39","5.04","407","705","1112","43.9%","32.8%","23.3%","20.0%","42.2%","37.8%","5420"
"Thomas Pannone","Blue Jays",".291","0.72","21.3%","32.9%","45.8%","7.1%","13.1%","31","3.82","453","802","1255","38.8%","33.8%","27.4%","13.7%","46.1%","40.2%","17281"
"Javy Guerra","- - -",".282","0.71","19.6%","33.5%","46.9%","9.2%","10.2%","33","4.39","322","754","1076","33.0%","34.4%","32.6%","15.6%","47.6%","36.8%","7407"
"Hunter Wood","- - -",".287","0.71","22.9%","32.1%","45.0%","9.5%","11.1%","24","4.76","258","494","752","38.7%","31.7%","29.6%","18.3%","48.6%","33.1%","15091"
"David Hess","Orioles",".278","0.71","21.8%","32.6%","45.6%","10.1%","23.5%","32","3.60","539","891","1430","32.8%","39.6%","27.6%","12.8%","43.4%","43.8%","16130"
"Jeff Brigham","Marlins",".283","0.71","20.8%","33.0%","46.2%","10.2%","16.3%","27","6.34","248","442","690","29.0%","33.6%","37.4%","18.7%","36.5%","44.9%","16631"
"Bryse Wilson","Braves",".339","0.71","26.2%","30.8%","43.1%","7.1%","17.9%","20","9.00","120","236","356","38.8%","35.8%","25.4%","10.5%","49.3%","40.3%","19990"
"Giovanny Gallegos","Cardinals",".222","0.71","19.2%","33.5%","47.3%","17.7%","11.4%","31","3.77","361","780","1141","35.3%","37.7%","27.0%","18.0%","45.5%","36.5%","14986"
"Grant Dayton","Braves",".276","0.71","12.1%","36.4%","51.5%","17.6%","23.5%","10","7.50","75","129","204","33.3%","39.4%","27.3%","18.2%","42.4%","39.4%","11203"
"Chris Devenski","Astros",".296","0.70","20.6%","32.7%","46.7%","12.9%","14.0%","17","2.22","407","737","1144","39.1%","36.1%","24.8%","21.3%","35.6%","43.1%","12763"
"Gerardo Reyes","Padres",".339","0.70","12.5%","35.9%","51.6%","6.1%","9.1%","18","6.23","158","300","458","35.4%","32.3%","32.3%","15.4%","46.2%","38.5%","16306"
"Ryne Stanek","- - -",".266","0.70","22.6%","31.8%","45.6%","10.1%","12.4%","44","5.14","506","794","1300","43.7%","31.2%","25.1%","16.6%","37.7%","45.7%","15947"
"Hector Santiago","- - -",".366","0.70","22.0%","32.0%","46.0%","13.0%","17.4%","26","6.95","270","445","715","40.6%","31.7%","27.7%","16.8%","43.6%","39.6%","4026"
"Hunter Strickland","- - -",".229","0.69","19.7%","32.9%","47.4%","13.9%","16.7%","16","5.92","142","249","391","46.1%","14.5%","39.5%","21.1%","51.3%","27.6%","7836"
"Nick Anderson","- - -",".349","0.69","29.5%","28.8%","41.7%","12.7%","14.5%","30","4.15","337","764","1101","41.8%","31.3%","26.9%","14.9%","44.0%","41.0%","18337"
"Robert Stephenson","Reds",".230","0.69","22.1%","31.8%","46.1%","11.3%","12.7%","30","4.18","351","677","1028","44.9%","33.3%","21.8%","16.0%","47.4%","36.5%","13594"
"Elieser Hernandez","Marlins",".263","0.69","17.1%","33.8%","49.1%","13.4%","17.9%","40","4.37","492","950","1442","45.9%","32.6%","21.5%","18.5%","41.6%","39.9%","16933"
"Adam Plutko","Indians",".280","0.68","23.2%","31.2%","45.6%","12.4%","13.7%","75","6.17","616","1178","1794","38.1%","32.8%","29.1%","18.1%","45.8%","36.2%","15846"
"Chris Flexen","Mets",".304","0.68","21.3%","31.9%","46.8%","9.1%","4.5%","4","2.63","114","160","274","21.3%","48.9%","29.8%","12.8%","44.7%","42.6%","13896"
"Ryan Brasier","Red Sox",".286","0.68","21.4%","31.8%","46.8%","12.5%","12.5%","34","5.50","334","644","978","43.6%","38.5%","18.0%","18.6%","42.3%","39.1%","5615"
"Raisel Iglesias","Reds",".316","0.68","26.2%","29.9%","43.9%","16.7%","16.7%","10","1.34","394","739","1133","37.7%","31.7%","30.5%","22.8%","38.3%","38.9%","17130"
"David Hernandez","Reds",".393","0.68","30.6%","28.1%","41.3%","14.0%","14.0%","11","2.32","261","526","787","36.3%","37.1%","26.6%","12.9%","41.9%","45.2%","4259"
"Michael Shawaryn","Red Sox",".412","0.68","16.1%","33.9%","50.0%","14.3%","17.9%","8","3.54","187","274","461","37.5%","39.3%","23.2%","16.1%","41.1%","42.9%","19495"
"Jake Newberry","Royals",".262","0.67","15.4%","34.1%","50.5%","10.9%","15.2%","13","3.77","206","333","539","37.4%","37.4%","25.3%","16.5%","49.5%","34.1%","15136"
"Pat Venditte","Giants",".273","0.67","9.1%","36.4%","54.5%","16.7%","16.7%","4","10.80","26","37","63","33.3%","41.7%","25.0%","25.0%","33.3%","41.7%","7108"
"Reymin Guduan","Astros",".357","0.67","11.8%","35.3%","52.9%","0.0%","33.3%","3","5.06","44","68","112","47.1%","29.4%","23.5%","5.9%","41.2%","52.9%","13058"
"Sam Selman","Giants",".167","0.67","16.7%","33.3%","50.0%","16.7%","16.7%","0","0.00","81","106","187","42.3%","38.5%","19.2%","23.1%","34.6%","42.3%","13397"
"Brandon Dixon","Tigers",".000","0.67","16.7%","33.3%","50.0%","0.0%","33.3%","4","18.00","11","17","28","33.3%","50.0%","16.7%","0.0%","66.7%","33.3%","15214"
"Keynan Middleton","Angels",".200","0.67","25.0%","30.0%","45.0%","11.1%","0.0%","0","0.00","62","81","143","30.0%","25.0%","45.0%","10.0%","40.0%","50.0%","15264"
"Victor Arano","Phillies",".167","0.67","28.6%","28.6%","42.9%","0.0%","33.3%","2","3.86","26","42","68","57.1%","42.9%","0.0%","0.0%","42.9%","57.1%","15915"
"Odrisamer Despaigne","White Sox",".420","0.67","34.0%","26.4%","39.6%","4.8%","14.3%","6","4.05","110","145","255","28.3%","35.9%","35.9%","13.2%","52.8%","34.0%","16017"
"Sandy Baez","Tigers",".400","0.67","0.0%","40.0%","60.0%","0.0%","0.0%","0","0.00","2","8","10","0.0%","80.0%","20.0%","40.0%","40.0%","20.0%","17754"
"Adonis Rosa","Yankees",".000","0.67","0.0%","40.0%","60.0%","0.0%","33.3%","0","0.00","15","17","32","40.0%","20.0%","40.0%","20.0%","20.0%","60.0%","17942"
"Jerry Blevins","Braves",".247","0.66","25.9%","29.4%","44.7%","10.5%","13.2%","27","7.52","209","349","558","47.7%","33.7%","18.6%","20.9%","38.4%","40.7%","7841"
"Shawn Armstrong","- - -",".347","0.65","25.4%","29.5%","45.1%","12.8%","10.3%","17","2.64","428","704","1132","33.7%","34.3%","32.0%","17.7%","45.1%","37.1%","12857"
"Shawn Kelley","Rangers",".314","0.65","25.9%","29.3%","44.9%","10.6%","18.2%","33","6.27","244","524","768","47.0%","35.6%","17.5%","17.5%","38.3%","44.3%","7773"
"Tyler Lyons","- - -",".333","0.64","23.3%","30.0%","46.7%","21.4%","28.6%","7","4.97","64","127","191","48.4%","32.3%","19.4%","12.9%","41.9%","45.2%","11334"
"Burch Smith","- - -",".338","0.64","21.7%","30.4%","47.8%","6.1%","9.1%","10","4.22","145","280","425","43.7%","32.4%","23.9%","11.3%","47.9%","40.9%","12784"
"Miguel Del Pozo","Angels",".304","0.64","25.0%","29.2%","45.8%","18.2%","27.3%","9","8.68","73","110","183","38.5%","34.6%","26.9%","30.8%","34.6%","34.6%","18792"
"Brad Wieck","- - -",".267","0.63","19.3%","31.3%","49.4%","7.3%","19.5%","18","4.67","233","400","633","39.8%","33.7%","26.5%","10.8%","41.0%","48.2%","16390"
"Liam Hendriks","Athletics",".311","0.63","19.2%","31.3%","49.5%","11.1%","5.6%","24","2.54","458","896","1354","26.5%","40.0%","33.5%","18.4%","44.3%","37.3%","3548"
"Brad Hand","Indians",".362","0.63","31.1%","26.7%","42.2%","8.8%","10.5%","14","2.20","302","644","946","44.1%","27.9%","27.9%","14.7%","45.6%","39.7%","9111"
"Ryan Dull","- - -",".465","0.63","32.6%","26.1%","41.3%","10.5%","26.3%","8","5.68","107","163","270","50.0%","27.1%","22.9%","12.5%","37.5%","50.0%","13974"
"Tyler Bashlor","Mets",".250","0.63","12.3%","33.8%","53.8%","2.9%","17.1%","9","3.68","152","244","396","37.9%","39.4%","22.7%","13.6%","48.5%","37.9%","15203"
"Edgar Garcia","Phillies",".300","0.63","17.0%","32.0%","51.0%","3.9%","21.6%","22","5.08","305","418","723","36.6%","37.6%","25.7%","11.9%","40.6%","47.5%","19276"
"Juan Minaya","White Sox",".333","0.63","23.5%","29.4%","47.1%","20.0%","10.0%","5","1.63","173","305","478","38.8%","32.9%","28.2%","17.7%","45.9%","36.5%","10341"
"Sam Tuivailala","Mariners",".226","0.62","13.0%","33.3%","53.7%","10.3%","3.4%","9","3.52","154","236","390","29.6%","42.6%","27.8%","14.8%","59.3%","25.9%","13485"
"John Means","Orioles",".256","0.62","19.1%","30.9%","50.0%","11.2%","9.9%","88","5.11","1005","1676","2681","39.0%","30.9%","30.1%","17.0%","55.3%","27.8%","16269"
"Tyler Thornburg","Red Sox",".347","0.62","20.8%","30.2%","49.1%","15.4%","15.4%","11","5.30","148","234","382","45.3%","34.0%","20.8%","13.2%","34.0%","52.8%","10688"
"A.J. Cole","Indians",".355","0.62","19.2%","30.8%","50.0%","7.7%","10.3%","13","4.50","157","324","481","35.0%","32.5%","32.5%","22.5%","42.5%","35.0%","11467"
"David Bednar","Padres",".269","0.62","22.2%","29.6%","48.1%","0.0%","23.1%","4","3.27","70","126","196","41.4%","37.9%","20.7%","17.2%","44.8%","37.9%","19569"
"Hector Noesi","Marlins",".295","0.61","20.5%","30.1%","49.4%","9.8%","17.1%","18","5.86","185","312","497","28.2%","40.0%","31.8%","12.9%","44.7%","42.4%","3292"
"Joe Jimenez","Tigers",".319","0.61","21.9%","29.5%","48.6%","12.7%","18.3%","17","2.56","344","712","1056","39.2%","37.2%","23.7%","18.2%","45.3%","36.5%","15761"
"Yusmeiro Petit","Athletics",".213","0.61","20.8%","29.9%","49.3%","11.0%","10.1%","36","3.90","395","759","1154","35.7%","41.9%","22.5%","15.9%","49.3%","34.8%","4020"
"Craig Kimbrel","Cubs",".279","0.60","20.0%","30.0%","50.0%","0.0%","36.0%","0","0.00","151","241","392","25.0%","48.1%","26.9%","7.7%","42.3%","50.0%","6655"
"Tim Peterson","Mets",".261","0.60","33.3%","25.0%","41.7%","20.0%","10.0%","5","6.14","63","79","142","37.5%","29.2%","33.3%","25.0%","41.7%","33.3%","13946"
"Alex Reyes","Cardinals",".111","0.60","20.0%","30.0%","50.0%","0.0%","20.0%","1","3.00","36","35","71","40.0%","40.0%","20.0%","10.0%","50.0%","40.0%","15015"
"Luis Ortiz","Orioles",".250","0.60","20.0%","30.0%","50.0%","20.0%","40.0%","1","2.70","36","44","80","40.0%","40.0%","20.0%","10.0%","30.0%","60.0%","16942"
"Ty France","Padres",".143","0.60","0.0%","37.5%","62.5%","0.0%","20.0%","2","9.00","11","17","28","12.5%","50.0%","37.5%","12.5%","37.5%","50.0%","17982"
"David McKay","- - -",".283","0.60","23.8%","28.6%","47.6%","3.3%","10.0%","9","3.08","191","316","507","28.6%","34.9%","36.5%","11.1%","50.8%","38.1%","19814"
"Adalberto Mejia","- - -",".322","0.60","28.0%","26.9%","45.2%","9.5%","9.5%","10","2.87","248","381","629","42.6%","31.9%","25.5%","13.8%","38.3%","47.9%","13188"
"Asher Wojciechowski","Orioles",".278","0.59","18.6%","30.2%","51.2%","13.7%","13.7%","41","4.48","539","928","1467","41.8%","33.2%","25.0%","18.0%","46.3%","35.7%","10836"
"Cody Anderson","Indians",".407","0.58","29.6%","25.9%","44.4%","0.0%","8.3%","2","2.08","76","117","193","50.0%","35.7%","14.3%","21.4%","35.7%","42.9%","12799"
"Conner Menez","Giants",".257","0.58","18.9%","29.7%","51.4%","5.3%","21.1%","6","3.18","126","193","319","46.2%","28.2%","25.6%","15.4%","46.2%","38.5%","19199"
"Josh D. Smith","- - -",".306","0.57","8.3%","33.3%","58.3%","23.8%","0.0%","6","4.26","112","173","285","22.2%","38.9%","38.9%","22.2%","47.2%","30.6%","13629"
"Ervin Santana","White Sox",".277","0.57","11.3%","32.1%","56.6%","6.7%","20.0%","6","4.05","104","146","250","39.6%","35.9%","24.5%","15.1%","52.8%","32.1%","3200"
"Tyler Clippard","Indians",".204","0.56","12.5%","31.6%","55.9%","14.1%","9.4%","23","3.34","320","617","937","48.4%","24.5%","27.1%","24.5%","44.5%","31.0%","5640"
"Jacob Rhame","Mets",".133","0.56","6.7%","33.3%","60.0%","11.1%","11.1%","3","4.26","54","67","121","43.8%","37.5%","18.8%","12.5%","50.0%","37.5%","15267"
"Carl Edwards Jr.","- - -",".214","0.55","31.1%","24.4%","44.4%","20.0%","15.0%","12","6.35","134","212","346","17.8%","48.9%","33.3%","26.7%","37.8%","35.6%","13607"
"Dan Straily","Orioles",".325","0.55","21.2%","27.9%","50.8%","11.0%","24.2%","26","4.91","382","584","966","41.3%","35.2%","23.5%","16.2%","40.8%","43.0%","9460"
